lyrics,name
মোমের পুতুল মমীর দেশের মেয়ে নেচে যায় বিহবল চঞ্চল পায় খর্জুর বীথির ধারে সাহারা মরুর পারে বাজায় ঘুমুর ঝুমুর ঝুমুর মধুর ঝঙ্কারে উড়িয়ে ওড়না লু হাওয়ায় পরী নটিনী নেচে যায় দুলে দুলে দূরে সুদূর সুর্মা পরা আঁখি হানে আস্‌মানে জ্যোৎস্না আসে নীল আকাশে তার টানে ঢেউ তুলে নীল দরিয়ায় দিল দরদী নেচে যায় দুলে দুলে দূরে সুদূর,1
লাল টুকটুকে বৌ যায় গো লাল ন টের ক্ষেতে যে তার আলতা পায়ের চিহ্ন এঁকে নালতা শাকের গাঁয় গো লাল ন টের ক্ষেতে মৌমাছি ওঠে মেতে তাঁর রূপের আঁচে পায়ের তলার মাটি ওঠে তেতে লাল পুঁইয়ের লতা নুয়ে প ড়ে জড়িয়ে ধরে পায় গো কাঁকাল বাঁকা রাখাল ছোঁড়া আগলে দাঁড়ায় আ ল রাঙা বৌ এর চোখে লাগে লাল লঙ্কার ঝাল বৌ এর ঘেমে উঠে গো লাজে সরে না পা সে মুখ ফিরিয়ে শাড়ীর আঁচল আঙুলে জড়ায় গো,1
অরুণকান্তি কে গো যোগী ভিখারী নীরবে হেসে দাঁড়াইলে এসে প্রখর তেজ তব নেহারিতে নারি রাস বিলাসিনী আমি আহিরিণী শ্যামল কিশোর রূপ শুধু চিনি অম্বরে হেরি আজ একি জ্যোতিঃপুঞ্জ হে গিরিজাপতি কোথা গিরিধারী সম্বর সম্বর মহিমা তব হে ব্রজেশ ভৈরব আমি ব্রজবালা হে শিব সুন্দর  বাঘছাল পরিহর ধর নটবর বেশ পর নীপ মালা নব মেঘ চন্দনে ঢাকি অঙ্গজ্যোতি প্রিয় হয়ে দেখা দাও ত্রিভুবন পতিপার্ব্বতী নহি আমি শ্রীমতী বিষাণ ফেলিয়া হও বাঁশরী ধারী,1
দ্বীপ নিভিয়াছে ঝড়ে জেগে আছে মোর আঁখি কে যেন কহিছে কেঁদে মোর বুকে মুখ রাখি পথিক এসেছ নাকি হারায়ে গিয়াছে চাঁদ জল-ভরা কালো মেঘে আঁচলে লুকায়ে ফুল বাতায়নে আছি জেগে শূন্য গগণে দেয়া কহিতেছে যেন ডাকি পথিক এসেছ নাকি ভাঙিয়া দুয়ার মম কাড়িয়া লইতে মোরে এলে কি ভিখারী ওগো প্রলয়ের রূপ ধরে  ফুরাইয়া যায় বঁধু শুভ লগনের বেলা আন আন ত্বরা কবি ওপারে যাবার ভেলা পিয়া পিয়া বলে বনে ঝুরিছে পাপিয়া পাখী পথিক এসেছ নাকি,1
তোমারি আঁখির মত আকাশের দুটি তারা চেয়ে থাকে মোর প্রাণে নিশীথে তন্দ্রাহারা সে কি তুমি  সে কি তুমি ক্ষীণ আঁখি দ্বীপ জ্বালি বাতায়নে জাগি একা অসীম অন্ধকারে খুঁজি তব পথ রেখা সহসা দখিন বায়ে চাঁপাবনে জাগে সাড়া সে কি তুমি সে কি তুমি তব স্মৃতি যদি ভুলি ক্ষণ তরে আন্কাজে কেন যেন কাঁদিয়া উঠে আমার বুকের মাঝে সে কি তুমি  সে কি তুমি বৈশাখী ঝরে রাতে চমকিয়া উঠি জেগে বুঝি অশান্ত মম আসিলে ঝড়ের বেগে ঝর চলে যায় কেঁদে ঢালিয়া শ্রাবণ ধারা সে কি তুমি সে কি তুমি,1
তব গানের ভাষায় সুরে বুঝেছি এতদিনে পেয়েছি তারে আমি আমি যারে খুঁজেছি ছিল পাষাণ হয়ে গভীর অভিমান এল সহসা আনন্দ অশ্রুর বান বিরহ সুন্দর হয়ে সেই এল দেবতা বলে যারে পূজেছি তোমার দেওয়া বিদায়ের মালা পুনঃপ্রাণ পেল প্রিয় হয়ে শুভদৃষ্টির মিলন-মালিকা বুকে ফিরে এল প্রিয় যাহারে নিষ্ঠুর বলেছি নিশীথে গোপনে কেঁদেছি নয়নের বারি হাসি দিয়ে মুছেছি,1
তৌহীদের মুর্শিদ আমার মোহাম্মদের নাম মুর্শিদ মোহাম্মদের নাম  ঐ নাম জপিলেই বুঝতে পারি খোদা কালাম মুর্শিদ মোহাম্মদের নাম ঐ নামেরই রশি ধরে যাই আল্লাহ্‌র পথে ঐ নামেরই ভেলায় চড়ে ভাসি নূরের স্রোতে ঐ নামেরই বাতি জ্বেলে দেখি লোহ আরশ ধামে মুর্শিদ মোহাম্মদের নাম ঐ নামের দামন ধরে আছি আমার কিসের ভয় ঐ নামের গুণে পাব আমি খোদার পরিচয় তাঁর কদম মোবারক যে আমার বেহেশতী তাঞ্জাম মুর্শিদ মোহাম্মদের নাম,1
অঞ্জলি লহ মোর সঙ্গীতে প্রদীপ শিখা সম কাঁপিছে প্রাণ মম তোমারে সুন্দর বন্দিতে সঙ্গীতে সঙ্গীতে  তোমার দেবালয়ে কি সুখে কি জানি দুলে দুলে ওঠে আমার দেহখানি আরতি নৃত্যের ভঙ্গীতে  সঙ্গীতে সঙ্গীতে  পুলকে বিকশিল প্রেমের শতদল গন্ধে রূপে রসে টলিছে টলমল  তোমার মুখে চাহি আমার বানী যত লুটাইয়া-পরে ঝরা ফুলের মত তোমার পদতল রঞ্জিতে  সঙ্গীতে সঙ্গীতে,1 
তেপান্তরের মাঠে বঁধু হে একা বসে থাকি তুমি যে পথ দিয়ে গেছ চলে তারি ধূলা মাখি হে  একা বসে থাকি  যেমন পা ফেলেছে গিরি মাটির রাঙা পথের ধূলাতে  অমনি করে আমার বুকে চরণ যদি বুলাতে  আমি খানিক জ্বালা ভুলতাম ঐ মানিক বুকে রাখি আমার খাওয়া পরার নাই রুচি আর ঘুম আসে না চোখে  আমি বাউরি হয়ে বেড়াই পথে হাসে পাড়ার লোকে  দেখে হাসে পাড়ার লোকে  আমি তাল পুকুরে যেতে নারি একই তোমার মায়া হে  ঐ কালো জলে দেখি তোমার কালো রূপের ছায়া হে  আমার কলঙ্কিনী নাম রটিয়ে তুমি দিলে ফাঁকি,1
তোরা দেখে যা আমিনা মায়ের কোলে মধু পূর্ণিমারি সেথা চাঁদ দোলে যেন ঊষার কোলে রাঙা রবি দোলে কূল মখ্‌লুকে আজি ধ্বনি ওঠে কে এলো ঐ কলেমা শাহাদাতের্‌ বাণী ঠোঁটে কে এলা ঐ খোদার জ্যোতি পেশানিতে ফোটে কে এলো ঐ আকাশ গ্রহ তারা পড়ে লুটে কে এলা ঐ পড়ে দরুদ ফেরেশ্‌তা বেহেশ্‌তে সব দুয়ার খোলে মানুষে মানুষের অধিকার দিল যে জন এক আল্লাহ্‌ ছাড়া প্রভু নাই  কহিল যে জন মানুষের লাগি চির দীন্‌ বেশ ধরিল যে জন বাদশা ফকিরে এক শামিল করিল যে জন এলো ধরায় ধরা দিতে সেই সে নবী ব্যথিত মানবের ধ্যানের ছবি আজি মাতিল বিশ্ব নিখিল্‌ মুক্তি কলোরোলে,1
বঁধু তোমার আমার এই যে বিরহ এক জনমের নহে  তাই যত আছে পাই তত এ হিয়ায় কি যেন অভাব রহে  বারে বারে মোরা কত সে ভুবনে আসি নিমেষে দুইজনে ভালবাসি দলিয়া সহসা মিলনের সেই মালা চলিয়া গিয়াছি দোহে  আমরা বুঝি গো বাঁধিব না ঘর অভিশাপ বিধাতার শুধু চেয়ে থাকি কেঁদে কেঁদে ডাকি চাঁদ আর পারাবার মোদের জীবন মঞ্জরী দুটি হায় শতবার ফোটে শতবার ঝরে যায় বঁধু আমি কাঁদি ব্রজে তুমি কাঁদ মধুরায় মাঝে অপার যমুনা বহে,1
ওগো প্রিয়  তব গান আকাশ গাঙের জোয়ারে উজান বহিয়া যায়  মোর কথাগুলি বুকের মাঝারে পথ খুঁজে নাহি পায়  ওগো দখিনা বাতাস ফুলের সুরভি বহ ওরি সাথে মোর না বলা বাণী লহ  ওগো মেঘ তুমি মোর হয়ে গিয়ে কহ  বন্দিনী গিরি ঝর্ণা পাষাণ তলে যে কথা কহিতে চায়  ওরে ও সুরমা পদ্মা কর্ণফুলী তদের ভাটির স্রোতে নিয়ে যা আমার না বলা কথাগুলি ধুয়ে মোর বুক হাতে  ওরে চোখ গেল বৌ কথা কও পাখী তোদের কন্ঠে মোর সুর যাই রাখি কি ওরে মাঠের মুরলী কহিও তাহারে ডাকি আমার এ গানের কলির না ফোটা বুলি ঝরে গেল নিরাশায়,1
আমার গানের মালা আমি করবো কারে দান মালার ফুলে জড়িয়ে আছে করুণ অভিমান  চোখে মলীন কাজল লেখা কন্ঠে কাঁদে কুহু কেকা কপোলে যার অশ্রু রেখা একা যাহার প্রাণ শাখায় ছিলো কাটার বেদন মালায় সূচীর জ্বালা কন্ঠে দিতে সাহস না পাই অভিশাপের মালা  বিরহে যার প্রেমারতি আঁধার লোকের অরুন্ধতি নাম না জানা সেই তপোতী তার তরে এই গান,1
